Expense,Category
"KFC Zinger Meal","Food"
"McDonald's Big Mac","Food"
"Pizza from Pizza Hut","Food"
"Subway Chicken Sandwich","Food"
"Starbucks Latte","Food"
"Dunkin Donuts Coffee","Food"
"Biryani from Student Biryani","Food"
"Homemade Dinner","Food"
"Vegetables and Fruits","Food"
"Groceries from Walmart","Food"
"Careem Ride to Office","Transport"
"Uber Ride to Mall","Transport"
"Bus Ticket to Lahore","Transport"
"Train Fare to Karachi","Transport"
"Metro Card Recharge","Transport"
"Flight Ticket to Dubai","Transport"
"Taxi Fare","Transport"
"PSL Final Ticket","Entertainment"
"Movie Ticket at Cinepax","Entertainment"
"Concert Ticket","Entertainment"
"Netflix Subscription","Entertainment"
"Amazon Prime Subscription","Entertainment"
"Spotify Premium","Entertainment"
"Gaming Console Purchase","Entertainment"
"Xbox Game Pass","Entertainment"
"Daraz Shopping","Shopping"
"New Clothes from Outfitters","Shopping"
"Zara Shoes Purchase","Shopping"
"Junaid Jamshed Perfume","Shopping"
"Electronics from Best Buy","Shopping"
"Mobile Phone Purchase","Shopping"
"Laptop Upgrade","Shopping"
"Petrol for Bike","Fuel"
"Gasoline Refill","Fuel"
"Diesel for Truck","Fuel"
"Engine Oil Change","Fuel"
"Gas Bill","Utilities"
"Water Bill Payment","Utilities"
"Electricity Bill","Utilities"
"Internet Subscription","Utilities"
"JazzCash Mobile Recharge","Utilities"
"Hospital Bill Payment","Health"
"Doctor Visit Fee","Health"
"Pharmacy Medicine Purchase","Health"
"Gym Membership Fee","Health"
"Yoga Class Subscription","Health"
"Life Insurance Premium","Finance"
"Investment in Stocks","Finance"
"Bitcoin Purchase","Finance"
"Credit Card Bill Payment","Finance"
"Bank Loan Repayment","Finance"
"Home Loan EMI","Finance"
"Rent Payment","Housing"
"Mortgage Payment","Housing"
"Property Tax Payment","Housing"
"Interior Decoration","Housing"
"Furniture Purchase","Housing"
"Charity Donation","Other"
"Zakat Payment","Other"
"Birthday Gift Purchase","Other"
"Wedding Gift for Friend","Other"
"Fuel top-up for car","Fuel"
"Haircut at Salon","Personal Care"
"Dry Cleaning Service","Personal Care"
"Baby Diapers","Parenting"
"School Books for Kids","Parenting"
"Tuition Fee Payment","Education"
"Online Course Fee","Education"
"Stationery Purchase","Education"
"Hotel Booking for Trip","Travel"
"Vacation Package to Turkey","Travel"
"Passport Renewal Fee","Travel"
"Visa Application Fee","Travel"
"Car Service & Maintenance","Automobile"
"New Tires for Car","Automobile"
"Motorbike Repair","Automobile"
"Charity Fundraiser Donation","Charity"
"Food for Street Dogs","Charity"
"Car Parking Fee","Transport"
"Metro Monthly Pass","Transport"
"Shopping for Groceries","Food"
"Protein Powder Purchase","Health"
"Medical Checkup","Health"
"Concert VIP Ticket","Entertainment"
"Movie Streaming Subscription","Entertainment"
"Office Desk & Chair","Shopping"
"New Smartwatch","Shopping"
"Local Tour Guide Payment","Travel"
"Bike Gear Purchase","Automobile"
"Gym Equipment Purchase","Health"
"Yoga Mat","Health"
"Air Conditioner Repair","Housing"
"Water Purifier Purchase","Utilities"
"Legal Consultation Fee","Finance"
"Stock Market Trading","Finance"
"New Cryptocurrency Investment","Finance"
"Tax Return Filing Fee","Finance"
"Property Rent Advance","Housing"
"Household Cleaning Service","Housing"
"Home Renovation","Housing"
"Security Camera Installation","Housing"
"Wedding Gift for Friend","Other"
"Anniversary Celebration Dinner","Other"
"Cooking Class Enrollment","Education"
"New Cooking Appliances","Shopping"
"Summer Camp Fee","Education"
"Public Library Membership","Education"
"New Books for Reading","Education"
"Theme Park Ticket","Entertainment"
"Music Festival Entry","Entertainment"
"Fishing Equipment Purchase","Hobby"
"Photography Gear","Hobby"
"Online Stock Analysis Course","Education"
"Magazine Subscription","Entertainment"
"Donation to Orphanage","Charity"
"New Suit for Office","Shopping"
"Office Supplies Purchase","Shopping"
"Emergency Medical Treatment","Health"
"Personal Loan Repayment","Finance"
"Car Loan EMI","Finance"
"Personal Savings Deposit","Finance"
"Birthday Party Arrangements","Other"
"WiFi Router Purchase","Utilities"
"Electric Kettle Purchase","Shopping"
"Smart TV Upgrade","Shopping"
"Home Theater Installation","Shopping"
"Tourist Visa Processing Fee","Travel"
"Airport Lounge Access","Travel"
"Car Rental for Weekend","Travel"
"Highway Toll Payment","Transport"
"Fast Food Combo Meal","Food"
"Luxury Dining Experience","Food"
"Handmade Jewelry Purchase","Shopping"
"Local Artisan Craft Purchase","Shopping"
"Fuel Card Recharge","Fuel"
"Office Coffee Machine","Shopping"
"New Kitchen Utensils","Shopping"
"Luxury Watch Purchase","Shopping"
"Swimming Pool Subscription","Health"
"Martial Arts Class","Health"
"Airline Seat Upgrade","Travel"
"Exotic Bird Cage Purchase","Hobby"
"Luxury Car Rental","Transport"
"Vehicle Tuning & Modification","Automobile"
"Childrenâ€™s School Uniform","Parenting"
"Online Educational Platform Subscription","Education"
"Smart Home Security System","Housing"
"Apartment Maintenance Fee","Housing"
"Professional Resume Writing Service","Education"
"Tuition for Special Needs Education","Education"
"Elderly Care Service Payment","Other"
"Pet Grooming Service","Other"
"Social Media Advertising Fee","Business"
"Domain & Hosting Purchase","Business"
"Freelance Logo Design Payment","Business"
"Software License Purchase","Business"
"Gaming PC Upgrade","Shopping"
"Home Gardening Equipment","Hobby"
"Music Instrument Purchase","Hobby"
"Luxury Resort Stay","Travel"
"Digital Marketing Course","Education"
"Home Office Setup","Housing"
"Online Freelance Course","Education"
"DJ Equipment Purchase","Entertainment"
"Grocery Subscription Box","Food"
"Art Supplies Purchase","Hobby"
"Furniture Rental Payment","Housing"
"Event Hall Booking","Other"
"Personal Styling Service","Shopping"
"Therapy Session Fee","Health"
...
